description,volume
"LiYSe2 is Caswellsilverite structured and crystallizes in the trigonal R-3m space group. Li(1) is bonded to six equivalent Se(1) atoms to form LiSe6 octahedra that share corners with six equivalent Y(1)Se6 octahedra, edges with six equivalent Li(1)Se6 octahedra, and edges with six equivalent Y(1)Se6 octahedra. The corner-sharing octahedral tilt angles are 1°. All Li(1)-Se(1) bond lengths are 2.85 Å. Y(1) is bonded to six equivalent Se(1) atoms to form YSe6 octahedra that share corners with six equivalent Li(1)Se6 octahedra, edges with six equivalent Li(1)Se6 octahedra, and edges with six equivalent Y(1)Se6 octahedra. The corner-sharing octahedral tilt angles are 1°. All Y(1)-Se(1) bond lengths are 2.87 Å. Se(1) is bonded to three equivalent Li(1) and three equivalent Y(1) atoms to form a mixture of corner and edge-sharing SeLi3Y3 octahedra. The corner-sharing octahedra are not tilted.
",226.58576106360744
"YWN3 crystallizes in the orthorhombic Pmc2_1 space group. Y(1) is bonded in a 8-coordinate geometry to two equivalent N(2), two equivalent N(3), and four equivalent N(1) atoms. Both Y(1)-N(2) bond lengths are 2.46 Å. There is one shorter (2.33 Å) and one longer (2.42 Å) Y(1)-N(3) bond length. There are two shorter (2.57 Å) and two longer (2.69 Å) Y(1)-N(1) bond lengths. W(1) is bonded in a 5-coordinate geometry to one N(1), two equivalent N(2), and two equivalent N(3) atoms. The W(1)-N(1) bond length is 1.88 Å. There is one shorter (1.82 Å) and one longer (2.40 Å) W(1)-N(2) bond length. Both W(1)-N(3) bond lengths are 1.96 Å. There are three inequivalent N sites. In the first N site, N(1) is bonded in a 5-coordinate geometry to four equivalent Y(1) and one W(1) atom. In the second N site, N(2) is bonded in a distorted rectangular see-saw-like geometry to two equivalent Y(1) and two equivalent W(1) atoms. In the third N site, N(3) is bonded to two equivalent Y(1) and two equivalent W(1) atoms to form corner-sharing NY2W2 trigonal pyramids.
",955.5857031797004
"NaBiS2 is Caswellsilverite-like structured and crystallizes in the triclinic P1 space group. There are two inequivalent Na sites. In the first Na site, Na(1) is bonded to one S(3), one S(4), two equivalent S(1), and two equivalent S(2) atoms to form NaS6 octahedra that share corners with two equivalent Bi(2)S6 octahedra, corners with four equivalent Na(1)S6 octahedra, edges with four equivalent Na(2)S6 octahedra, edges with four equivalent Bi(1)S6 octahedra, and edges with four equivalent Bi(2)S6 octahedra. The corner-sharing octahedral tilt angles range from 4-6°. The Na(1)-S(3) bond length is 3.09 Å. The Na(1)-S(4) bond length is 3.09 Å. Both Na(1)-S(1) bond lengths are 2.86 Å. There is one shorter (2.85 Å) and one longer (2.86 Å) Na(1)-S(2) bond length. In the second Na site, Na(2) is bonded to one S(1), one S(2), two equivalent S(3), and two equivalent S(4) atoms to form NaS6 octahedra that share corners with two equivalent Bi(1)S6 octahedra, corners with four equivalent Na(2)S6 octahedra, edges with four equivalent Na(1)S6 octahedra, edges with four equivalent Bi(1)S6 octahedra, and edges with four equivalent Bi(2)S6 octahedra. The corner-sharing octahedral tilt angles range from 4-6°. The Na(2)-S(1) bond length is 3.09 Å. The Na(2)-S(2) bond length is 3.09 Å. There is one shorter (2.85 Å) and one longer (2.86 Å) Na(2)-S(3) bond length. Both Na(2)-S(4) bond lengths are 2.86 Å. There are two inequivalent Bi sites. In the first Bi site, Bi(1) is bonded to one S(1), one S(2), two equivalent S(3), and two equivalent S(4) atoms to form BiS6 octahedra that share corners with two equivalent Na(2)S6 octahedra, corners with four equivalent Bi(1)S6 octahedra, edges with four equivalent Na(1)S6 octahedra, edges with four equivalent Na(2)S6 octahedra, and edges with four equivalent Bi(2)S6 octahedra. The corner-sharing octahedral tilt angles range from 4-6°. The Bi(1)-S(1) bond length is 2.82 Å. The Bi(1)-S(2) bond length is 2.82 Å. There is one shorter (2.75 Å) and one longer (2.97 Å) Bi(1)-S(3) bond length. There is one shorter (2.71 Å) and one longer (3.00 Å) Bi(1)-S(4) bond length. In the second Bi site, Bi(2) is bonded to one S(3), one S(4), two equivalent S(1), and two equivalent S(2) atoms to form BiS6 octahedra that share corners with two equivalent Na(1)S6 octahedra, corners with four equivalent Bi(2)S6 octahedra, edges with four equivalent Na(1)S6 octahedra, edges with four equivalent Na(2)S6 octahedra, and edges with four equivalent Bi(1)S6 octahedra. The corner-sharing octahedral tilt angles range from 4-6°. The Bi(2)-S(3) bond length is 2.81 Å. The Bi(2)-S(4) bond length is 2.83 Å. There is one shorter (2.76 Å) and one longer (2.95 Å) Bi(2)-S(1) bond length. There is one shorter (2.72 Å) and one longer (3.00 Å) Bi(2)-S(2) bond length. There are four inequivalent S sites. In the first S site, S(1) is bonded to one Na(2), two equivalent Na(1), one Bi(1), and two equivalent Bi(2) atoms to form a mixture of corner and edge-sharing SNa3Bi3 octahedra. The corner-sharing octahedral tilt angles range from 2-6°. In the second S site, S(2) is bonded to one Na(2), two equivalent Na(1), one Bi(1), and two equivalent Bi(2) atoms to form a mixture of corner and edge-sharing SNa3Bi3 octahedra. The corner-sharing octahedral tilt angles range from 2-6°. In the third S site, S(3) is bonded to one Na(1), two equivalent Na(2), one Bi(2), and two equivalent Bi(1) atoms to form a mixture of corner and edge-sharing SNa3Bi3 octahedra. The corner-sharing octahedral tilt angles range from 1-6°. In the fourth S site, S(4) is bonded to one Na(1), two equivalent Na(2), one Bi(2), and two equivalent Bi(1) atoms to form a mixture of corner and edge-sharing SNa3Bi3 octahedra. The corner-sharing octahedral tilt angles range from 1-6°.
",268.5857577287321
"AgP2 crystallizes in the monoclinic P2_1/c space group. Ag(1) is bonded in a 4-coordinate geometry to one P(1) and three equivalent P(2) atoms. The Ag(1)-P(1) bond length is 2.52 Å. There are a spread of Ag(1)-P(2) bond distances ranging from 2.52-2.69 Å. There are two inequivalent P sites. In the first P site, P(2) is bonded to three equivalent Ag(1) and two equivalent P(1) atoms to form distorted PAg3P2 trigonal bipyramids that share corners with five equivalent P(1)AgP3 tetrahedra, corners with six equivalent P(2)Ag3P2 trigonal bipyramids, and  an edgeedge with one P(2)Ag3P2 trigonal bipyramid. There is one shorter (2.21 Å) and one longer (2.22 Å) P(2)-P(1) bond length. In the second P site, P(1) is bonded to one Ag(1), one P(1), and two equivalent P(2) atoms to form PAgP3 tetrahedra that share corners with two equivalent P(1)AgP3 tetrahedra and corners with five equivalent P(2)Ag3P2 trigonal bipyramids. The P(1)-P(1) bond length is 2.26 Å.
",464.5857421659808
"LiNO3 is Calcite structured and crystallizes in the trigonal R-3c space group. Li(1) is bonded to six equivalent O(1) atoms to form corner-sharing LiO6 octahedra. The corner-sharing octahedral tilt angles are 61°. All Li(1)-O(1) bond lengths are 2.19 Å. N(1) is bonded in a trigonal planar geometry to three equivalent O(1) atoms. All N(1)-O(1) bond lengths are 1.27 Å. O(1) is bonded in a trigonal planar geometry to two equivalent Li(1) and one N(1) atom.
",1445.585664272822
"CaTiF6 is High-temperature superconductor-derived structured and crystallizes in the trigonal R-3m space group. Ca(1) is bonded to six equivalent F(1) atoms to form CaF6 octahedra that share corners with six equivalent Ti(1)F6 octahedra. The corner-sharing octahedra are not tilted. All Ca(1)-F(1) bond lengths are 2.28 Å. Ti(1) is bonded to six equivalent F(1) atoms to form TiF6 octahedra that share corners with six equivalent Ca(1)F6 octahedra. The corner-sharing octahedra are not tilted. All Ti(1)-F(1) bond lengths are 1.89 Å. F(1) is bonded in a linear geometry to one Ca(1) and one Ti(1) atom.
",684.5857246975862
"LiTaO3 is Ilmenite-like structured and crystallizes in the trigonal R3c space group. Li(1) is bonded in a 6-coordinate geometry to six equivalent O(1) atoms. There are three shorter (2.08 Å) and three longer (2.31 Å) Li(1)-O(1) bond lengths. Ta(1) is bonded to six equivalent O(1) atoms to form corner-sharing TaO6 octahedra. The corner-sharing octahedral tilt angles are 38°. There are three shorter (1.93 Å) and three longer (2.09 Å) Ta(1)-O(1) bond lengths. O(1) is bonded in a distorted see-saw-like geometry to two equivalent Li(1) and two equivalent Ta(1) atoms.
",859.5857108022728
"RbPbBr3 crystallizes in the monoclinic P2_1/m space group. Rb(1) is bonded in a 8-coordinate geometry to two equivalent Br(2) and six equivalent Br(1) atoms. Both Rb(1)-Br(2) bond lengths are 3.46 Å. There are a spread of Rb(1)-Br(1) bond distances ranging from 3.63-3.85 Å. Pb(1) is bonded to two equivalent Br(2) and four equivalent Br(1) atoms to form a mixture of corner and edge-sharing PbBr6 octahedra. The corner-sharing octahedral tilt angles are 42°. Both Pb(1)-Br(2) bond lengths are 3.04 Å. There are two shorter (3.09 Å) and two longer (3.10 Å) Pb(1)-Br(1) bond lengths. There are two inequivalent Br sites. In the first Br site, Br(2) is bonded to two equivalent Rb(1) and two equivalent Pb(1) atoms to form distorted BrRb2Pb2 tetrahedra that share corners with four equivalent Br(2)Rb2Pb2 tetrahedra, corners with eight equivalent Br(1)Rb3Pb2 trigonal bipyramids, and edges with six equivalent Br(1)Rb3Pb2 trigonal bipyramids. In the second Br site, Br(1) is bonded to three equivalent Rb(1) and two equivalent Pb(1) atoms to form distorted BrRb3Pb2 trigonal bipyramids that share corners with four equivalent Br(2)Rb2Pb2 tetrahedra, corners with nine equivalent Br(1)Rb3Pb2 trigonal bipyramids, edges with three equivalent Br(2)Rb2Pb2 tetrahedra, and edges with six equivalent Br(1)Rb3Pb2 trigonal bipyramids.
",142.58576773335804
"Ca2Si is Fluorite structured and crystallizes in the cubic Fm-3m space group. Ca(1) is bonded to four equivalent Si(1) atoms to form a mixture of corner and edge-sharing CaSi4 tetrahedra. All Ca(1)-Si(1) bond lengths are 3.10 Å. Si(1) is bonded in a body-centered cubic geometry to eight equivalent Ca(1) atoms.
",240.5857599519823
"RbTlO2 is Caswellsilverite structured and crystallizes in the trigonal R-3m space group. Rb(1) is bonded to six equivalent O(1) atoms to form distorted RbO6 octahedra that share corners with six equivalent Tl(1)O6 octahedra, edges with six equivalent Rb(1)O6 octahedra, and edges with six equivalent Tl(1)O6 octahedra. The corner-sharing octahedral tilt angles are 14°. All Rb(1)-O(1) bond lengths are 2.89 Å. Tl(1) is bonded to six equivalent O(1) atoms to form TlO6 octahedra that share corners with six equivalent Rb(1)O6 octahedra, edges with six equivalent Rb(1)O6 octahedra, and edges with six equivalent Tl(1)O6 octahedra. The corner-sharing octahedral tilt angles are 14°. All Tl(1)-O(1) bond lengths are 2.37 Å. O(1) is bonded to three equivalent Rb(1) and three equivalent Tl(1) atoms to form a mixture of corner and edge-sharing ORb3Tl3 octahedra. The corner-sharing octahedra are not tilted.
",411.5857463742758
